image,club,distance,accuracy,ball_speed,launch,spin,dispersion,direction,color
http://golf-eq.com/wp-content/uploads/2022/02/callawayRogueStMaxDriver.jpeg,Callaway Rogue ST Max,5,9.5,7.6,10,9.9,9.2,-0.5,green
http://golf-eq.com/wp-content/uploads/2022/02/callawayRoogueStMaxDDriver.jpeg,Callaway Rogue ST Max D,6,7.3,7.5,9.1,9.7,8.9,-3,green
http://golf-eq.com/wp-content/uploads/2022/02/callawayRogueStMaxLsDriver.png,Callaway Rogue ST Max LS,8,7,8,8,7,7,1,green
http://golf-eq.com/wp-content/uploads/2022/02/callawayRogueStTripleDiamondLsDriver.png,Callaway Rogue ST Triple Diamond LS,9.5,5.4,9.8,6,5.5,5.3,4.5,green
http://golf-eq.com/wp-content/uploads/2022/02/cobraLtdxDriver.jpeg,Cobra LTDx,8,8.5,8,7.8,6,8.7,-0.2,orange
http://golf-eq.com/wp-content/uploads/2022/02/cobraLtdxLsDriver-1.jpeg,Cobra LTDx LS,9.5,6.5,10,5.5,5.3,5.5,4,orange
http://golf-eq.com/wp-content/uploads/2022/02/cobraLtdxMaxDriver.jpeg,Cobra LTDx Max,7,9,6,9,9,9.3,-0.5,orange
http://golf-eq.com/wp-content/uploads/2022/02/mizunoStg220Driver.jpeg,Mizuno ST-G 220,9,5,8.8,5.4,6,5.3,3,black
http://golf-eq.com/wp-content/uploads/2022/02/pingG425LstDriver.jpeg,Ping G425 LST,9,6.9,9.2,6.5,6.5,7,2.8,silver
http://golf-eq.com/wp-content/uploads/2022/02/pingG425MaxDriver.jpeg,Ping G425 Max,7,10,7.4,9.7,8,10,0,silver
http://golf-eq.com/wp-content/uploads/2022/02/pingG425SftDriver.jpeg,Ping G425 SFT,6,7.8,6.9,7,8.5,8.5,-5,silver
http://golf-eq.com/wp-content/uploads/2022/02/taylormadeStealthDriver.jpeg,TaylorMade Stealth,7,8.4,9,7.5,8,9,2,red
http://golf-eq.com/wp-content/uploads/2022/02/taylormadeStealthHdDriver.jpeg,TaylorMade Stealth HD,6,8,8.2,7.3,8.2,8.3,-2.5,red
http://golf-eq.com/wp-content/uploads/2022/02/taylormadeStealthPlusDriver.jpeg,TaylorMade Stealth Plus,9.7,7.4,9.3,6.8,6,6.5,3.5,red
http://golf-eq.com/wp-content/uploads/2022/02/titleistTsi1Driver.jpeg,Titleist TSi1,6,8.5,6,8,7.5,8.7,0,maroon
http://golf-eq.com/wp-content/uploads/2022/02/titleistTsi2Driver.jpeg,Titleist TSi2,7.8,8,7.8,7.5,7.3,8.4,0.5,maroon
http://golf-eq.com/wp-content/uploads/2022/02/titleistTsi3Driver.jpeg,Titleist TSi3,9,7.5,8.9,6,6,6.6,2.7,maroon
http://golf-eq.com/wp-content/uploads/2022/02/titleistTsi4Driver.jpeg,Titleist TSi4,10,5,9.7,5.5,5.5,5,3.8,maroon